frame,x,y,w,h
318,50,170,390,187
319,50,170,390,187
320,50,170,390,187
321,50,170,390,187
322,50,170,390,187
323,50,170,390,187
324,50,170,390,187
325,50,170,390,187
326,50,170,390,187
327,50,170,390,187
328,50,170,390,187
329,50,170,390,187
330,50,170,390,187
331,50,170,390,187
332,50,170,390,187
333,50,170,390,187
334,50,170,390,187
335,50,170,390,187
336,50,170,390,187
337,50,170,390,187
338,48,109,390,187
339,48,109,390,187
340,48,109,390,187
341,47,109,390,187
342,48,109,390,187
343,48,109,390,187
344,48,109,390,187
345,48,109,390,187
346,48,109,390,187
347,48,109,390,187
348,48,109,390,187
349,48,109,390,187
350,48,109,390,187
351,48,109,390,187
352,48,108,390,187
353,48,108,390,187
354,48,109,390,187
355,48,109,390,187
356,48,109,390,187
357,48,109,390,187
358,48,109,390,187
359,47,109,390,187
360,48,109,390,187
361,48,109,390,187
362,48,109,390,187
363,48,109,390,187
364,48,109,390,187
365,48,109,390,187
366,48,109,390,187
367,48,109,390,187
368,48,109,390,187
369,48,109,390,187
370,48,109,390,187
371,48,109,390,187
372,48,109,390,187
373,48,109,390,187
374,48,109,390,187
375,48,109,390,187
376,48,108,390,187
377,48,108,390,187
378,47,108,390,187
379,47,108,390,187
380,47,108,390,187
381,47,108,390,187
382,47,108,390,187
383,47,108,390,187
384,48,108,390,187
385,48,108,390,187
386,48,109,390,187
387,48,109,390,187
388,48,109,390,187
389,48,109,390,187
390,48,109,390,187
391,48,109,390,187
392,50,170,390,187
393,50,170,390,187
394,50,170,390,187
395,50,170,390,187
396,50,170,390,187
397,50,170,390,187
398,50,170,390,187
399,50,170,390,187
400,50,170,390,187
401,50,170,390,187
402,50,170,390,187
403,50,170,390,187
404,50,170,390,187
405,50,170,390,187
406,50,170,390,187
407,50,170,390,187
408,50,170,390,187
409,50,170,390,187
410,50,170,390,187
411,50,170,390,187
412,50,170,390,187
413,50,170,390,187
414,50,170,390,187
415,50,170,390,187
416,50,170,390,187
417,50,170,390,187
418,50,170,390,187
419,50,170,390,187
420,50,170,390,187
421,50,170,390,187
422,50,170,390,187
423,50,170,390,187
424,50,170,390,187
425,50,170,390,187
426,50,170,390,187
427,50,170,390,187
428,50,170,390,187
429,50,170,390,187
